Taxonomy	c_1	c_2	c_3	c_4	c_5	c_6	c_7	c_8	c_9	c_10	t1_1	t1_2	t1_3	t1_4	t1_5	t1_6	t1_7	t1_8	t1_9	t1_10	t2_1	t2_2	t2_3	t2_4	t2_5	t2_6	t2_7	t2_8	t2_9	t2_10
Proteobacteria	4664	4487	4512	4382	4492	4267	4011	3971	4076	4894	6914	7230	7907	5264	6207	6214	5228	4736	5330	4480	7747	8553	8506	7405	7546	7621	8449	8194	7306	7643
Acidobacteria	1471	1071	1339	1363	1207	1537	1458	1759	1628	1404	520	229	324	546	339	470	1469	1392	1088	1626	84	52	45	137	67	134	56	60	262	55
Actinobacteria	746	717	531	441	484	433	485	597	544	488	779	588	512	1099	691	798	882	901	1351	1104	1317	582	684	1496	1428	1253	713	989	1364	1489
Firmicutes	51	147	61	38	40	36	49	48	32	43	169	213	129	561	1045	431	321	984	295	186	33	16	26	33	44	44	25	23	29	23
Bacteroidetes	794	1101	1222	1242	1757	1489	1759	993	1479	1147	426	648	217	1047	586	719	608	582	435	594	78	74	58	99	90	139	54	49	93	64
Gemmatimonadetes	686	837	594	698	530	636	485	810	626	508	207	134	103	392	264	296	301	265	240	513	21	18	13	55	26	32	20	12	124	20
Thaumarchaeota	45	62	58	34	23	56	89	9	31	115	40	56	27	14	13	10	2	15	23	38	0	11	7	45	47	28	16	11	21	9
Verrucomicrobia	192	199	332	369	265	173	369	281	198	166	28	78	31	98	30	108	156	63	226	194	13	7	15	24	5	28	9	4	5	15
Chloroflexi	184	192	205	206	136	204	178	216	172	233	167	103	63	127	88	134	148	181	190	256	80	78	37	69	111	83	41	52	93	64
Nitrospirae	226	181	176	189	110	195	170	224	219	130	38	30	26	95	54	71	97	105	71	118	5	5	3	9	6	8	3	6	39	3
Latescibacteria	58	59	80	83	57	88	67	126	86	65	8	9	8	21	26	25	68	67	36	115	0	1	0	0	0	0	1	0	19	0
Saccharibacteria	59	39	47	89	88	49	70	43	52	40	21	10	14	37	12	27	21	17	15	23	1	5	2	10	5	5	3	0	11	6
JL-ETNP-Z39	44	64	52	69	26	49	29	61	39	29	5	9	5	9	4	14	13	13	13	20	0	0	0	1	2	1	0	0	8	0
Thermomicrobia	25	16	34	10	9	5	14	21	26	13	49	22	20	11	10	18	29	27	43	38	17	8	12	19	27	24	18	8	22	13
Armatimonadetes	12	20	13	18	3	12	8	40	6	5	1	8	2	6	2	10	3	2	5	8	0	0	0	0	0	1	0	0	2	1
Planctomycetes	29	15	21	19	27	17	30	27	42	32	6	6	1	16	8	8	16	12	8	15	1	1	0	1	0	2	1	0	3	2
Elusimicrobia	17	54	33	31	32	40	33	53	46	22	1	9	4	13	6	12	4	11	7	17	0	0	0	0	0	0	1	1	3	0
Fibrobacteres	25	35	13	21	52	32	28	41	25	17	1	3	3	16	5	5	7	2	3	10	0	0	0	1	0	1	0	0	0	0
Cyanobacteria	12	9	11	8	4	8	13	7	8	3	3	5	3	3	2	3	11	7	9	11	6	1	3	1	0	4	1	1	0	0
WCHB1-60	4	5	2	5	10	10	7	0	2	2	2	2	0	0	1	1	1	0	1	0	2	0	0	1	0	0	0	0	0	2
Euryarchaeota	1	0	2	6	2	3	5	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobi	15	15	9	17	6	17	9	13	11	8	7	5	1	18	6	10	7	4	4	12	0	0	0	0	2	0	1	0	3	0
TM6	4	6	7	2	8	5	0	1	4	1	2	0	0	6	1	5	0	4	2	1	2	0	0	0	0	0	0	2	0	0
Tenericutes	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Woesearchaeota_.DHVEG-6.	0	4	1	7	2	3	2	4	2	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Parcubacteria	0	5	3	4	8	0	4	4	6	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Spirochaetes	1	4	4	5	6	2	4	7	4	7	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Chlamydiae	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Hydrogenedentes	4	2	2	1	2	1	2	2	5	3	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
SHA-109	2	4	1	3	1	2	0	0	0	0	1	0	0	0	0	1	1	2	0	2	2	0	0	3	2	0	0	0	0	1
Gracilibacteria	0	1	1	2	0	3	0	2	3	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
SM2F11	0	0	0	0	0	3	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldiserica	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
Candidate_division_WS6	3	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0
Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thermotogae	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microgenomates	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Fusobacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerophobetes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deferribacteres	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
